LM_ID	COMMON_NAME	SYSTEMATIC_NAME	FORMULA	MASS	CATEGORY	MAIN_CLASS	SUB_CLASS
LMFA00000007	n-decanohydroxamic acid	N-hydroxydecanamide	C10H21NO2	187.16	Fatty Acyls [FA]	Other Fatty Acyls [FA00]	
LMFA00000008	(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoic acid	(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoic acid	C18H37O7P	396.23	Fatty Acyls [FA]	Other Fatty Acyls [FA00]	
LMFA00000009	N-(6-aminohexanoyl)-6-aminohexanoic acid	6-(6-aminohexanamido)hexanoic acid	C12H24N2O3	244.18	Fatty Acyls [FA]	Other Fatty Acyls [FA00]	
LMFA00000014	Virodhamine	2-aminoethyl-5Z,8Z,11Z,14Z-eicosatetraenoate	C22H37NO2	347.28	Fatty Acyls [FA]	Other Fatty Acyls [FA00]	
MGL02010062	DG(16:0/20:3(8Z,11Z,14Z)/0:0)[iso2]	1-hexadecanoyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol	C39H70O5	618.52	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]
LMGL02010063	DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)	1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycerol	C39H68O5	616.51	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]
LMGL02010064	DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]	1-(9Z-octadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol	C39H68O5	616.51	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]
LMGL02010065	DG(18:0/19:0/0:0)[iso2]	1-octadecanoyl-2-nonadecanoyl-sn-glycerol	C40H78O5	638.58	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]
MGP01011596	PC(18:1(9Z)/13:0)	1-(9Z-octadecenoyl)-2-tridecanoyl-glycero-3-phosphocholine	C39H76NO8P	717.53	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]
LMGP01011597	PC(18:1(9Z)/14:1(9Z))	1-(9Z-octadecenoyl)-2-(9Z-tetradecenoyl)-glycero-3-phosphocholine	C40H76NO8P	729.53	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]
LMGP01011598	PC(18:1(9Z)/15:0)	1-(9Z-octadecenoyl)-2-pentadecanoyl-glycero-3-phosphocholine	C41H80NO8P	745.56	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]
LMGP01011599	PC(18:1(9Z)/15:1(9Z))	1-(9Z-octadecenoyl)-2-(9Z-pentadecenoyl)-glycero-3-phosphocholine	C41H78NO8P	743.55	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]
LMGP01011600	PC(18:1(9Z)/17:0)	1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	C43H84NO8P	773.59	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]
MSP0502AN07	-	Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1/24:1(15Z))	C78H141NO33	1619.94	Sphingolipids [SP]	Neutral glycosphingolipids [SP05]	GalNAcbeta1-3Galalpha1-4Galbeta1-4Glc- (Globo series) [SP0502]
LMSP0502AN08	-	Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1/26:1(17Z))	C80H145NO33	1647.97	Sphingolipids [SP]	Neutral glycosphingolipids [SP05]	GalNAcbeta1-3Galalpha1-4Galbeta1-4Glc- (Globo series) [SP0502]
LMSP0502AO00	-	Galbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer	-	-	Sphingolipids [SP]	Neutral glycosphingolipids [SP05]	GalNAcbeta1-3Galalpha1-4Galbeta1-4Glc- (Globo series) [SP0502]
LMSP0502AO01	-	Galbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1/16:0)	C58H107NO23	1185.72	Sphingolipids [SP]	Neutral glycosphingolipids [SP05]	GalNAcbeta1-3Galalpha1-4Galbeta1-4Glc- (Globo series) [SP0502]
MST02020021	Dehydroepiandrosterone	3beta-hydroxyandrost-5-en-17-one	C19H28O2	288.21	Sterol Lipids [ST]	Steroids [ST02]	C19 steroids (androgens) and derivatives [ST0202]
LMST02020023	Epiandrosterone	3beta-hydroxy-androstan-17-one	C19H30O2	290.22	Sterol Lipids [ST]	Steroids [ST02]	C19 steroids (androgens) and derivatives [ST0202]
